strain	date	country	HA_clade	NA_clade	genotype	county
A/swine/France/29-200252/2020	2020-07-26	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200254/2020	2020-07-31	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200263/2020	2020-06-04	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200264/2020	2020-08-05	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200272/2020	2020-08-31	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-200272-1/2020	2020-07-22	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-200324/2020	2020-06-12	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200383-3/2020	2020-07-19	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200400-1/2020	2020-09-15	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-200472-1/2020	2020-06-19	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200507-2/2020	2020-12-15	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-210041-1/2020	2020-12-02	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-210268-6/2021	2021-04-13	France	1C.2.1	N1.EA	H1avN1#D	FINISTERE (29)
A/swine/France/29-210403-2/2021	2021-04-23	France	1C.2.4	N2.Gent	?	FINISTERE (29)
A/swine/France/29-210413-3/2021	2021-07-02	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-210414-4/2021	2021-07-03	France	1C.2.1	N1.EA	?	FINISTERE (29)
A/swine/France/29-210451-2/2021	2021-06-03	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-210515-1/2021	2021-10-29	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-210536-7/2021	2021-11-23	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-220033-8/2022	2022-01-18	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-220173-1/2022	2022-01-18	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-220506-7/2022	2022-07-29	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-220615-2/2022	2022-09-23	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-220685-3/2022	2022-12-01	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-220698-2/2022	2022-11-08	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/33-220648-3/2022	2022-10-03	France	1C.2.1	N1.EA	H1avN1#A	GIRONDE (33)
A/swine/France/33-220699-2/2022	2022-11-03	France	1C.2.1	N1.EA	H1avN1#A	GIRONDE (33)
A/swine/France/35-160126/2016	2016-02-24	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/35-160197/2016	2016-05-17	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/35-160395/2016	2016-11-29	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/35-170233/2017	2017-09-10	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/35-180318/2018	2018-06-17	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/35-190039/2018	2018-12-10	France	1C.2.1	N2.Scot	H1avN2#A	out
A/swine/France/35-190107/2019	2019-03-23	France	1C.2.1	N1.EA	H1avN1#A	ILLE-ET-VILAINE (35)
A/swine/France/35-190212/2019	2019-05-13	France	1C.2.1	N1.EA	H1avN1#A	ILLE-ET-VILAINE (35)
A/swine/France/35-200008/2019	2019-12-16	France	1C.2.1	N1.EA	H1avN1#A	ILLE-ET-VILAINE (35)
A/swine/France/35-200052/2020	2020-02-18	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200154/2020	2020-06-03	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200154-1/2020	2020-06-03	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200203/2020	2020-05-27	France	1C.2.1	N1.EA	H1avN1#A	ILLE-ET-VILAINE (35)
A/swine/France/35-200206/2020	2020-06-09	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200238/2020	2020-07-19	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200251/2020	2020-07-30	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200270/2020	2020-07-24	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200271/2020	2020-07-23	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200275/2020	2020-07-22	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200279/2020	2020-06-03	France	1C.2.1	N1.EA	H1avN1#A	ILLE-ET-VILAINE (35)
A/swine/France/35-200295/2020	2020-07-29	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200298/2020	2020-07-22	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200299/2020	2020-07-25	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200300/2020	2020-07-27	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200332/2020	2020-07-20	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
